wavelength[nm], flux
434.69, 2.4710e-12
434.83, 2.5500e-12
434.97, 2.5850e-12
435.11, 2.5270e-12
435.25, 2.4410e-12
435.39, 2.4880e-12
435.53, 2.5820e-12
435.67, 2.6690e-12
435.81, 2.7290e-12
435.95, 2.7440e-12
436.09, 2.8080e-12
436.23, 2.8800e-12
436.37, 2.9290e-12
436.51, 2.9610e-12
436.65, 2.9770e-12
436.79, 2.9100e-12
436.93, 2.8610e-12
437.07, 2.8370e-12
437.21, 2.8390e-12
437.35, 2.7480e-12
437.49, 2.6930e-12
437.63, 2.6820e-12
437.77, 2.7380e-12
437.91, 2.8150e-12
438.05, 2.7740e-12
438.19, 2.6300e-12
438.33, 2.4440e-12
438.47, 2.2630e-12
438.61, 2.3520e-12
438.75, 2.5180e-12
438.89, 2.6180e-12
439.03, 2.6580e-12
439.17, 2.6800e-12
439.31, 2.6900e-12
439.45, 2.7050e-12
439.59, 2.7470e-12
439.73, 2.8550e-12
439.87, 2.8860e-12
440.01, 2.8350e-12
440.15, 2.7860e-12
440.29, 2.7500e-12
440.43, 2.6320e-12
440.57, 2.5630e-12
440.71, 2.6200e-12
440.85, 2.7040e-12
440.99, 2.8180e-12
441.13, 2.9470e-12
441.27, 2.9690e-12
441.41, 2.8670e-12
441.55, 2.7410e-12
441.69, 2.7360e-12
441.83, 2.8850e-12
441.97, 2.9890e-12
442.11, 2.9990e-12
442.25, 2.9640e-12
442.39, 2.9240e-12
442.53, 2.9310e-12
442.67, 2.9760e-12
442.81, 2.9970e-12
442.95, 2.9690e-12
443.09, 2.9100e-12
443.23, 2.8820e-12
443.37, 2.8530e-12
443.51, 2.8200e-12
443.65, 2.8550e-12
443.79, 2.9790e-12
443.93, 3.0380e-12
444.07, 3.0050e-12
444.21, 2.9040e-12
444.35, 2.8340e-12
444.49, 2.9380e-12
444.63, 3.0070e-12
444.77, 3.0560e-12
444.91, 3.0680e-12
445.05, 3.0600e-12
445.19, 3.0060e-12
445.33, 2.8870e-12
445.47, 2.7510e-12
445.61, 2.6530e-12
445.75, 2.6370e-12
445.89, 2.6840e-12
446.03, 2.7170e-12
446.17, 2.7700e-12
446.31, 2.8400e-12
446.45, 2.8810e-12
446.59, 2.8870e-12
446.73, 2.8670e-12
446.87, 2.8490e-12
447.01, 2.8450e-12
447.15, 2.9260e-12
447.29, 3.0000e-12
447.43, 3.0420e-12
447.57, 3.0560e-12
447.71, 3.0520e-12
447.85, 2.9620e-12
447.99, 2.8360e-12
448.13, 2.7640e-12
448.27, 2.8110e-12
448.41, 2.9580e-12
448.55, 3.0250e-12
448.69, 3.0250e-12
448.83, 2.9620e-12
448.97, 2.8820e-12
449.11, 2.8840e-12
449.25, 2.9070e-12
449.39, 2.8890e-12
449.53, 2.8770e-12
449.67, 2.9050e-12
449.81, 2.9620e-12
449.95, 2.9950e-12
450.09, 3.0080e-12
450.23, 3.0370e-12
450.37, 3.1000e-12
450.51, 3.1830e-12
450.65, 3.2070e-12
450.79, 3.1840e-12
450.93, 3.1600e-12
451.07, 3.1610e-12
451.21, 3.1100e-12
451.35, 3.0400e-12
451.49, 3.0170e-12
451.63, 2.9980e-12
451.77, 2.9900e-12
451.91, 3.0120e-12
452.05, 3.0380e-12
452.19, 3.0100e-12
452.33, 2.9490e-12
452.47, 2.8690e-12
452.61, 2.7760e-12
452.75, 2.7010e-12
452.89, 2.6960e-12
453.03, 2.7190e-12
453.17, 2.7360e-12
453.31, 2.7310e-12
453.45, 2.7650e-12
453.59, 2.8880e-12
453.73, 2.9930e-12
453.87, 3.0100e-12
454.01, 2.9800e-12
454.15, 3.0060e-12
454.29, 3.0170e-12
454.43, 2.9770e-12
454.57, 2.9270e-12
454.71, 2.8500e-12
454.85, 2.7860e-12
454.99, 2.8630e-12
455.13, 2.9300e-12
455.27, 2.9230e-12
455.41, 2.8750e-12
455.55, 2.8800e-12
455.69, 2.9490e-12
455.83, 3.0490e-12
455.97, 3.0800e-12
456.11, 3.0720e-12
456.25, 2.9850e-12
456.39, 2.8600e-12
456.53, 2.8860e-12
456.67, 2.9860e-12
456.81, 3.0380e-12
456.95, 3.0230e-12
457.09, 2.9480e-12
457.23, 2.9890e-12
457.37, 3.0340e-12
457.51, 3.0540e-12
457.65, 3.0450e-12
457.79, 2.9750e-12
457.93, 2.9050e-12
458.07, 2.8430e-12
458.21, 2.8060e-12
458.35, 2.8050e-12
458.49, 2.8470e-12
458.63, 2.9020e-12
458.77, 2.9400e-12
458.91, 2.9520e-12
459.05, 2.9370e-12
459.19, 2.8780e-12
459.33, 2.8310e-12
459.47, 2.8260e-12
459.61, 2.8470e-12
459.75, 2.8660e-12
459.89, 2.8470e-12
460.03, 2.8680e-12
460.17, 2.8920e-12
460.31, 2.9100e-12
460.45, 2.9380e-12
460.59, 2.9560e-12
460.73, 2.9900e-12
460.87, 2.9930e-12
461.01, 2.9810e-12
461.15, 2.9720e-12
461.29, 2.9660e-12
461.43, 2.9900e-12
461.57, 2.9770e-12
461.71, 2.9790e-12
461.85, 3.0150e-12
461.99, 3.0420e-12
462.13, 3.0670e-12
462.27, 3.0300e-12
462.41, 3.0010e-12
462.55, 3.0150e-12
462.69, 3.0010e-12
462.83, 2.9800e-12
462.97, 2.9670e-12
463.11, 2.9810e-12
463.25, 2.9620e-12
463.39, 2.8960e-12
463.53, 2.8780e-12
463.67, 2.8620e-12
463.81, 2.8560e-12
463.95, 2.9020e-12
464.09, 2.9250e-12
464.23, 2.8870e-12
464.37, 2.8290e-12
464.51, 2.7790e-12
464.65, 2.7350e-12
464.79, 2.7140e-12
464.93, 2.7850e-12
465.07, 2.8530e-12
465.21, 2.8790e-12
465.35, 2.8480e-12
465.49, 2.8410e-12
465.63, 2.8890e-12
465.77, 2.9680e-12
465.91, 3.0050e-12
466.05, 2.9760e-12
466.19, 2.8440e-12
466.33, 2.7590e-12
466.47, 2.7020e-12
466.61, 2.6250e-12
466.75, 2.6060e-12
466.89, 2.7250e-12
467.03, 2.8690e-12
467.17, 2.8520e-12
467.31, 2.8640e-12
467.45, 2.8880e-12
467.59, 2.9080e-12
467.73, 2.8700e-12
467.87, 2.8160e-12
468.01, 2.8190e-12
468.15, 2.8360e-12
468.29, 2.8830e-12
468.43, 2.9510e-12
468.57, 2.9190e-12
468.71, 2.8920e-12
468.85, 2.8560e-12
468.99, 2.8280e-12
469.13, 2.8080e-12
469.27, 2.8220e-12
469.41, 2.8540e-12
469.55, 2.8460e-12
469.69, 2.8080e-12
469.83, 2.7800e-12
469.97, 2.7350e-12
470.11, 2.6930e-12
470.25, 2.6390e-12
470.39, 2.6360e-12
470.53, 2.6880e-12
470.67, 2.7080e-12
470.81, 2.6770e-12
470.95, 2.7180e-12
471.09, 2.7930e-12
471.23, 2.7860e-12
471.37, 2.7310e-12
471.51, 2.7490e-12
471.65, 2.8190e-12
471.79, 2.8740e-12
471.93, 2.8970e-12
472.07, 2.8930e-12
472.21, 2.9120e-12
472.35, 2.9390e-12
472.49, 2.9350e-12
472.63, 2.8930e-12
472.77, 2.8330e-12
472.91, 2.7870e-12
473.05, 2.7440e-12
473.19, 2.7390e-12
473.33, 2.7900e-12
473.47, 2.8030e-12
473.61, 2.7830e-12
473.75, 2.7940e-12
473.89, 2.8250e-12
474.03, 2.8190e-12
474.17, 2.8220e-12
474.31, 2.8600e-12
474.45, 2.8700e-12
474.59, 2.8590e-12
474.73, 2.8590e-12
474.87, 2.8700e-12
475.01, 2.8850e-12
475.15, 2.8790e-12
475.29, 2.8420e-12
475.43, 2.7810e-12
475.57, 2.7380e-12
475.71, 2.7460e-12
475.85, 2.7910e-12
475.99, 2.8400e-12
476.13, 2.8260e-12
476.27, 2.7310e-12
476.41, 2.6830e-12
476.55, 2.6570e-12
476.69, 2.6640e-12
476.83, 2.7110e-12
476.97, 2.7700e-12
477.11, 2.8220e-12
477.25, 2.8660e-12
477.39, 2.9050e-12
477.53, 2.9410e-12
477.67, 2.9940e-12
477.81, 2.9950e-12
477.95, 2.9690e-12
478.09, 2.9460e-12
478.23, 2.9190e-12
478.37, 2.8740e-12
478.51, 2.8480e-12
478.65, 2.8250e-12
478.79, 2.7890e-12
478.93, 2.7940e-12
479.07, 2.8010e-12
479.21, 2.8020e-12
479.35, 2.8390e-12
479.49, 2.9060e-12
479.63, 2.9520e-12
479.77, 2.9050e-12
479.91, 2.8640e-12
480.05, 2.8150e-12
480.19, 2.7830e-12
480.33, 2.8290e-12
480.47, 2.8270e-12
480.61, 2.7560e-12
480.75, 2.7010e-12
480.89, 2.6880e-12
481.03, 2.7110e-12
481.17, 2.7410e-12
481.31, 2.7940e-12
481.45, 2.8310e-12
481.59, 2.8330e-12
481.73, 2.8620e-12
481.87, 2.8650e-12
482.01, 2.8610e-12
482.15, 2.8580e-12
482.29, 2.8080e-12
482.43, 2.7390e-12
482.57, 2.6940e-12
482.71, 2.7180e-12
482.85, 2.7620e-12
482.99, 2.7600e-12
483.13, 2.7730e-12
483.27, 2.7760e-12
483.41, 2.7760e-12
483.55, 2.7590e-12
483.69, 2.7210e-12
483.83, 2.6780e-12
483.97, 2.6820e-12
484.11, 2.7050e-12
484.25, 2.7080e-12
484.39, 2.7240e-12
484.53, 2.7340e-12
484.67, 2.7350e-12
484.81, 2.7290e-12
484.95, 2.6760e-12
485.09, 2.6060e-12
485.23, 2.5200e-12
485.37, 2.4200e-12
485.51, 2.3480e-12
485.65, 2.2740e-12
485.79, 2.1500e-12
485.93, 2.0060e-12
486.07, 1.9460e-12
486.21, 2.0350e-12
486.35, 2.1830e-12
486.49, 2.2830e-12
486.63, 2.3900e-12
486.77, 2.4480e-12
486.91, 2.4140e-12
487.05, 2.3310e-12
487.19, 2.2760e-12
487.33, 2.3430e-12
487.47, 2.4660e-12
487.61, 2.5340e-12
487.75, 2.5920e-12
487.89, 2.6490e-12
488.03, 2.6740e-12
488.17, 2.6410e-12
488.31, 2.5870e-12
488.45, 2.5380e-12
488.59, 2.5250e-12
488.73, 2.5280e-12
488.87, 2.5010e-12
489.01, 2.4310e-12
489.15, 2.4790e-12
489.29, 2.6340e-12
489.43, 2.7680e-12
489.57, 2.8310e-12
489.71, 2.8540e-12
489.85, 2.8870e-12
489.99, 2.8810e-12
490.13, 2.8250e-12
490.27, 2.7490e-12
490.41, 2.7360e-12
490.55, 2.7820e-12
490.69, 2.7810e-12
490.83, 2.6860e-12
490.97, 2.5900e-12
491.11, 2.6000e-12
491.25, 2.6780e-12
491.39, 2.7370e-12
491.53, 2.7560e-12
491.67, 2.7060e-12
491.81, 2.5360e-12
491.95, 2.3780e-12
492.09, 2.3730e-12
492.23, 2.4470e-12
492.37, 2.5280e-12
492.51, 2.5930e-12
492.65, 2.6840e-12
492.79, 2.7600e-12
492.93, 2.7890e-12
493.07, 2.8150e-12
493.21, 2.7580e-12
493.35, 2.6940e-12
493.49, 2.6970e-12
493.63, 2.7000e-12
493.77, 2.5990e-12
493.91, 2.5630e-12
494.05, 2.6150e-12
494.19, 2.6770e-12
494.33, 2.7560e-12
494.47, 2.7850e-12
494.61, 2.7950e-12
494.75, 2.7790e-12
494.89, 2.8320e-12
495.03, 2.8600e-12
495.17, 2.8470e-12
495.31, 2.8060e-12
495.45, 2.7610e-12
495.59, 2.6760e-12
495.73, 2.5090e-12
495.87, 2.4820e-12
496.01, 2.5970e-12
496.15, 2.6990e-12
496.29, 2.7320e-12
496.43, 2.7370e-12
496.57, 2.7270e-12
496.71, 2.7020e-12
496.85, 2.6570e-12
496.99, 2.6370e-12
497.13, 2.6770e-12
497.27, 2.7070e-12
497.41, 2.7290e-12
497.55, 2.7540e-12
497.69, 2.7540e-12
497.83, 2.7270e-12
497.97, 2.6670e-12
498.11, 2.5790e-12
498.25, 2.4550e-12
498.39, 2.3520e-12
498.53, 2.3790e-12
498.67, 2.5230e-12
498.81, 2.6510e-12
498.95, 2.7050e-12
499.09, 2.6960e-12
499.23, 2.6560e-12
499.37, 2.6420e-12
499.51, 2.6670e-12
499.65, 2.6760e-12
499.79, 2.6290e-12
499.93, 2.4690e-12
500.07, 2.2980e-12
500.21, 2.3290e-12
500.35, 2.4000e-12
500.49, 2.4220e-12
500.63, 2.3860e-12
500.77, 2.3770e-12
500.91, 2.4540e-12
501.05, 2.5250e-12
