wavelength[nm], flux
438.41, 8.4120e-13
438.55, 9.2000e-13
438.69, 9.9660e-13
438.83, 1.0300e-12
438.97, 1.0500e-12
439.11, 1.0840e-12
439.25, 1.1140e-12
439.39, 1.1230e-12
439.53, 1.1430e-12
439.67, 1.1620e-12
439.81, 1.1530e-12
439.95, 1.1200e-12
440.09, 1.0890e-12
440.23, 1.0360e-12
440.37, 9.8570e-13
440.51, 9.7430e-13
440.65, 1.0180e-12
440.79, 1.0820e-12
440.93, 1.1500e-12
441.07, 1.1940e-12
441.21, 1.1910e-12
441.35, 1.1410e-12
441.49, 1.1030e-12
441.63, 1.1360e-12
441.77, 1.2080e-12
441.91, 1.2670e-12
442.05, 1.2510e-12
442.19, 1.2000e-12
442.33, 1.1840e-12
442.47, 1.1930e-12
442.61, 1.1970e-12
442.75, 1.2050e-12
442.89, 1.2090e-12
443.03, 1.1930e-12
443.17, 1.1660e-12
443.31, 1.1200e-12
443.45, 1.1000e-12
443.59, 1.1380e-12
443.73, 1.1980e-12
443.87, 1.2360e-12
444.01, 1.2000e-12
444.15, 1.1600e-12
444.29, 1.1730e-12
444.43, 1.1950e-12
444.57, 1.2160e-12
444.71, 1.2270e-12
444.85, 1.2280e-12
444.99, 1.2200e-12
445.13, 1.1840e-12
445.27, 1.1180e-12
445.41, 1.0570e-12
445.55, 1.0340e-12
445.69, 1.0390e-12
445.83, 1.0550e-12
445.97, 1.0630e-12
446.11, 1.0790e-12
446.25, 1.1190e-12
446.39, 1.1560e-12
446.53, 1.1890e-12
446.67, 1.1930e-12
446.81, 1.1880e-12
446.95, 1.2060e-12
447.09, 1.2310e-12
447.23, 1.2600e-12
447.37, 1.2840e-12
447.51, 1.3040e-12
447.65, 1.3210e-12
447.79, 1.3030e-12
447.93, 1.2490e-12
448.07, 1.2140e-12
448.21, 1.2370e-12
448.35, 1.2870e-12
448.49, 1.3270e-12
448.63, 1.3100e-12
448.77, 1.2490e-12
448.91, 1.2300e-12
449.05, 1.2430e-12
449.19, 1.2510e-12
449.33, 1.2360e-12
449.47, 1.2350e-12
449.61, 1.2620e-12
449.75, 1.2980e-12
449.89, 1.3150e-12
450.03, 1.3170e-12
450.17, 1.3430e-12
450.31, 1.3740e-12
450.45, 1.3940e-12
450.59, 1.3860e-12
450.73, 1.3700e-12
450.87, 1.3530e-12
451.01, 1.3400e-12
451.15, 1.3200e-12
451.29, 1.2990e-12
451.43, 1.2920e-12
451.57, 1.3070e-12
451.71, 1.3310e-12
451.85, 1.3510e-12
451.99, 1.3550e-12
452.13, 1.3240e-12
452.27, 1.2880e-12
452.41, 1.2250e-12
452.55, 1.1540e-12
452.69, 1.0930e-12
452.83, 1.1190e-12
452.97, 1.1510e-12
453.11, 1.1710e-12
453.25, 1.1750e-12
453.39, 1.1810e-12
453.53, 1.2340e-12
453.67, 1.2940e-12
453.81, 1.3180e-12
453.95, 1.2970e-12
454.09, 1.2850e-12
454.23, 1.2840e-12
454.37, 1.2630e-12
454.51, 1.2350e-12
454.65, 1.2180e-12
454.79, 1.2010e-12
454.93, 1.2240e-12
455.07, 1.2430e-12
455.21, 1.2390e-12
455.35, 1.2450e-12
455.49, 1.2870e-12
455.63, 1.3380e-12
455.77, 1.3530e-12
455.91, 1.3590e-12
456.05, 1.3610e-12
456.19, 1.3250e-12
456.33, 1.2960e-12
456.47, 1.2920e-12
456.61, 1.3250e-12
456.75, 1.3560e-12
456.89, 1.3500e-12
457.03, 1.3220e-12
457.17, 1.3190e-12
457.31, 1.3280e-12
457.45, 1.3420e-12
457.59, 1.3480e-12
457.73, 1.2990e-12
457.87, 1.2540e-12
458.01, 1.2470e-12
458.15, 1.2600e-12
458.29, 1.2550e-12
458.43, 1.2520e-12
458.57, 1.2680e-12
458.71, 1.2870e-12
458.85, 1.2960e-12
458.99, 1.2950e-12
459.13, 1.3010e-12
459.27, 1.3020e-12
459.41, 1.2810e-12
459.55, 1.2630e-12
459.69, 1.2570e-12
459.83, 1.2690e-12
459.97, 1.2760e-12
460.11, 1.2810e-12
460.25, 1.2920e-12
460.39, 1.3130e-12
460.53, 1.3430e-12
460.67, 1.3710e-12
460.81, 1.3950e-12
460.95, 1.3790e-12
461.09, 1.3690e-12
461.23, 1.3560e-12
461.37, 1.3760e-12
461.51, 1.3570e-12
461.65, 1.3430e-12
461.79, 1.3540e-12
461.93, 1.3710e-12
462.07, 1.3810e-12
462.21, 1.3560e-12
462.35, 1.3490e-12
462.49, 1.3450e-12
462.63, 1.3390e-12
462.77, 1.3660e-12
462.91, 1.3680e-12
463.05, 1.3640e-12
463.19, 1.3760e-12
463.33, 1.3800e-12
463.47, 1.3550e-12
463.61, 1.3260e-12
463.75, 1.2870e-12
463.89, 1.3040e-12
464.03, 1.3290e-12
464.17, 1.3390e-12
464.31, 1.3090e-12
464.45, 1.2650e-12
464.59, 1.2360e-12
464.73, 1.2410e-12
464.87, 1.2620e-12
465.01, 1.2760e-12
465.15, 1.3020e-12
465.29, 1.2850e-12
465.43, 1.2660e-12
465.57, 1.2800e-12
465.71, 1.3270e-12
465.85, 1.3810e-12
465.99, 1.3630e-12
466.13, 1.3390e-12
466.27, 1.3240e-12
466.41, 1.2830e-12
466.55, 1.2060e-12
466.69, 1.1620e-12
466.83, 1.2110e-12
466.97, 1.2640e-12
467.11, 1.2960e-12
467.25, 1.3030e-12
467.39, 1.3150e-12
467.53, 1.3240e-12
467.67, 1.3070e-12
467.81, 1.2830e-12
467.95, 1.2710e-12
468.09, 1.2880e-12
468.23, 1.3070e-12
468.37, 1.3380e-12
468.51, 1.3490e-12
468.65, 1.3340e-12
468.79, 1.3080e-12
468.93, 1.2840e-12
469.07, 1.2510e-12
469.21, 1.2910e-12
469.35, 1.3340e-12
469.49, 1.3200e-12
469.63, 1.3050e-12
469.77, 1.2720e-12
469.91, 1.2390e-12
470.05, 1.2110e-12
470.19, 1.1920e-12
470.33, 1.1990e-12
470.47, 1.2280e-12
470.61, 1.2420e-12
470.75, 1.2200e-12
470.89, 1.2210e-12
471.03, 1.2600e-12
471.17, 1.2800e-12
471.31, 1.2830e-12
471.45, 1.2980e-12
471.59, 1.3270e-12
471.73, 1.3650e-12
471.87, 1.3900e-12
472.01, 1.3970e-12
472.15, 1.3690e-12
472.29, 1.3530e-12
472.43, 1.3610e-12
472.57, 1.3500e-12
472.71, 1.3060e-12
472.85, 1.2450e-12
472.99, 1.2350e-12
473.13, 1.2490e-12
473.27, 1.2390e-12
473.41, 1.2360e-12
473.55, 1.2440e-12
473.69, 1.2570e-12
473.83, 1.2920e-12
473.97, 1.3290e-12
474.11, 1.3430e-12
474.25, 1.3430e-12
474.39, 1.3510e-12
474.53, 1.3720e-12
474.67, 1.3810e-12
474.81, 1.3840e-12
474.95, 1.3820e-12
475.09, 1.3810e-12
475.23, 1.3620e-12
475.37, 1.3180e-12
475.51, 1.2910e-12
475.65, 1.3030e-12
475.79, 1.3520e-12
475.93, 1.3800e-12
476.07, 1.3530e-12
476.21, 1.3160e-12
476.35, 1.2900e-12
476.49, 1.2760e-12
476.63, 1.2680e-12
476.77, 1.2870e-12
476.91, 1.3220e-12
477.05, 1.3190e-12
477.19, 1.3200e-12
477.33, 1.3420e-12
477.47, 1.3740e-12
477.61, 1.4010e-12
477.75, 1.4050e-12
477.89, 1.4100e-12
478.03, 1.4080e-12
478.17, 1.3940e-12
478.31, 1.3650e-12
478.45, 1.3390e-12
478.59, 1.3220e-12
478.73, 1.2930e-12
478.87, 1.2780e-12
479.01, 1.3040e-12
479.15, 1.3620e-12
479.29, 1.3840e-12
479.43, 1.3780e-12
479.57, 1.3740e-12
479.71, 1.3760e-12
479.85, 1.3800e-12
479.99, 1.3870e-12
480.13, 1.3620e-12
480.27, 1.3440e-12
480.41, 1.3410e-12
480.55, 1.3190e-12
480.69, 1.3010e-12
480.83, 1.3240e-12
480.97, 1.3410e-12
481.11, 1.3590e-12
481.25, 1.3750e-12
481.39, 1.3880e-12
481.53, 1.4090e-12
481.67, 1.4020e-12
481.81, 1.3790e-12
481.95, 1.3710e-12
482.09, 1.3450e-12
482.23, 1.3400e-12
482.37, 1.3360e-12
482.51, 1.3390e-12
482.65, 1.3350e-12
482.79, 1.3130e-12
482.93, 1.3230e-12
483.07, 1.3430e-12
483.21, 1.3610e-12
483.35, 1.3550e-12
483.49, 1.3630e-12
483.63, 1.3640e-12
483.77, 1.3510e-12
483.91, 1.3300e-12
484.05, 1.2960e-12
484.19, 1.3050e-12
484.33, 1.3380e-12
484.47, 1.3580e-12
484.61, 1.3530e-12
484.75, 1.3380e-12
484.89, 1.3090e-12
485.03, 1.2890e-12
485.17, 1.3300e-12
485.31, 1.3040e-12
485.45, 1.2450e-12
